Product Name,Category,Price,Image URL
2B Mindset,Nutrition Plan,59.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-2b-mindset-nutrition-plan-1x1.png?v=1772478699
Belle Vitale All-In Kit,Nutrition Plan,299.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-belle-vitale-all-in-kit-autumn.png?v=1773247160
Portion Fix,Nutrition Plan,59.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-portion-fix-nutrition-plan-1x1.png?v=1772479522
The 4 Week Gut Protocol,Nutrition Plan,0.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-4-weeks-to-improve-your-gut-health-nutrition-plan-1x1.png?v=1772478783
BODi® Portion-Control 7-Piece Container Kit,Nutrition Kit,5.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-portion-control-containers.png?v=1772478633
The 4 Week Gut Protocol Complete Kit,Nutrition Kit,180.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-4-week-gut-protocol-kit.png?v=1772478714
"""You Can Drop It!"" 2B Mindset Book",Nutrition Book,28.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-you-can-drop-it-ilana-mulstein-diet-book.png?v=1772479730
2B Mindset® Tracker,Nutrition Book,5.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-2b-mindset-tracker-food-journal-en-us.png?v=1772478590
Belle Vitale Digital Recipe Book,Nutrition Book,19.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-belle-vitale-recipe-collection.png?v=1772478912
FIXATE Cookbook,Nutrition Book,19.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-fixate-cookbook-volume-1-autumn-calabrese-en-us.png?v=1772478610
The 4 Week Gut Protocol Cookbook,Nutrition Book,13.99,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-the-4-week-gut-protocol-cookbook-en-us.png?v=1772478590
2B Mindset Water Bottle,Water Bottle,5.00,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-2b-mindset-water-bottle.png?v=1772478591
Beachbody Performance Premium Shaker Bottle,Shaker Cup,14.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-beachbody-performance-shaker-bottle.png?v=1772478632
Performance Shaker Cup,Shaker Cup,6.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-beachbody-performance-shaker-cup.png?v=1772478626
Shakeology Shaker Cup,Shaker Cup,6.95,https://cdn.shopify.com/s/files/1/0755/6061/6153/files/bodi-shakeology-shaker-cup.png?v=1772479714
